a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum
0.80000,0.30000,0.80000,0.86000,1.00000,1.00000,0.81579,0.92660

0.80000,0.35000,0.80000,0.87000,1.00000,1.00000,0.81944,0.93640

0.80000,0.40000,0.80000,0.88000,1.00000,1.00000,0.82353,0.93940

0.80000,0.45000,0.80000,0.89000,1.00000,1.00000,0.82812,0.94270

0.80000,0.50000,0.80000,0.90000,1.00000,1.00000,0.83333,0.95510

0.80000,0.55000,0.80000,0.91000,1.00000,1.00000,0.83929,0.95850

0.80000,0.60000,0.80000,0.92000,1.00000,1.00000,0.84615,0.96890

0.80000,0.65000,0.80000,0.93000,1.00000,1.00000,0.85417,0.97500

0.80000,0.70000,0.80000,0.94000,1.00000,1.00000,0.86364,0.98020

0.80000,0.75000,0.80000,0.95000,1.00000,1.00000,0.87500,0.98480

0.80000,0.80000,0.80000,0.96000,1.00000,1.00000,0.88889,0.99190

0.80000,0.85000,0.85000,0.97000,1.00000,1.00000,0.90625,0.99460

0.80000,0.90000,0.90000,0.98000,1.00000,1.00000,0.92857,0.99860

0.80000,0.95000,0.95000,0.99000,1.00000,1.00000,0.95833,0.99950

0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.85000,0.00000,0.85000,0.85000,0.85000,0.85000,0.85000,0.94800

0.85000,0.05000,0.85000,0.85750,0.90000,0.85000,0.85117,0.94490

0.85000,0.10000,0.85000,0.86500,0.95000,0.85000,0.85246,0.94590

0.85000,0.15000,0.85000,0.87250,1.00000,1.00000,0.85387,0.95400

0.85000,0.20000,0.85000,0.88000,1.00000,1.00000,0.85542,0.94840

0.85000,0.25000,0.85000,0.88750,1.00000,1.00000,0.85714,0.95580

0.85000,0.30000,0.85000,0.89500,1.00000,1.00000,0.85906,0.95470

0.85000,0.35000,0.85000,0.90250,1.00000,1.00000,0.86121,0.96190

0.85000,0.40000,0.85000,0.91000,1.00000,1.00000,0.86364,0.96310

0.85000,0.45000,0.85000,0.91750,1.00000,1.00000,0.86640,0.96910

0.85000,0.50000,0.85000,0.92500,1.00000,1.00000,0.86957,0.97500

0.85000,0.55000,0.85000,0.93250,1.00000,1.00000,0.87324,0.97690

0.85000,0.60000,0.85000,0.94000,1.00000,1.00000,0.87755,0.97970

0.85000,0.65000,0.85000,0.94750,1.00000,1.00000,0.88268,0.98590

0.85000,0.70000,0.85000,0.95500,1.00000,1.00000,0.88889,0.98880

0.85000,0.75000,0.85000,0.96250,1.00000,1.00000,0.89655,0.98940

0.85000,0.80000,0.85000,0.97000,1.00000,1.00000,0.90625,0.99430

0.85000,0.85000,0.85000,0.97750,1.00000,1.00000,0.91892,0.99720

0.85000,0.90000,0.90000,0.98500,1.00000,1.00000,0.93617,0.99890

0.85000,0.95000,0.95000,0.99250,1.00000,1.00000,0.96104,0.99980

0.85000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.90000,0.00000,0.90000,0.90000,0.90000,0.90000,0.90000,0.97710

0.90000,0.05000,0.90000,0.90500,0.95000,0.90000,0.90052,0.97620

0.90000,0.10000,0.90000,0.91000,1.00000,1.00000,0.90110,0.97830

0.90000,0.15000,0.90000,0.91500,1.00000,1.00000,0.90173,0.97540

0.90000,0.20000,0.90000,0.92000,1.00000,1.00000,0.90244,0.97790

0.90000,0.25000,0.90000,0.92500,1.00000,1.00000,0.90323,0.97510

0.90000,0.30000,0.90000,0.93000,1.00000,1.00000,0.90411,0.98100

0.90000,0.35000,0.90000,0.93500,1.00000,1.00000,0.90511,0.98260

0.90000,0.40000,0.90000,0.94000,1.00000,1.00000,0.90625,0.98260

0.90000,0.45000,0.90000,0.94500,1.00000,1.00000,0.90756,0.98530

0.90000,0.50000,0.90000,0.95000,1.00000,1.00000,0.90909,0.98680

0.90000,0.55000,0.90000,0.95500,1.00000,1.00000,0.91089,0.99080

0.90000,0.60000,0.90000,0.96000,1.00000,1.00000,0.91304,0.99340

0.90000,0.65000,0.90000,0.96500,1.00000,1.00000,0.91566,0.99350

0.90000,0.70000,0.90000,0.97000,1.00000,1.00000,0.91892,0.99540

0.90000,0.75000,0.90000,0.97500,1.00000,1.00000,0.92308,0.99590

0.90000,0.80000,0.90000,0.98000,1.00000,1.00000,0.92857,0.99660

0.90000,0.85000,0.90000,0.98500,1.00000,1.00000,0.93617,0.99870

0.90000,0.90000,0.90000,0.99000,1.00000,1.00000,0.94737,0.99970

0.90000,0.95000,0.95000,0.99500,1.00000,1.00000,0.96552,0.99980

0.90000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.95000,0.00000,0.95000,0.95000,0.95000,0.95000,0.95000,0.99370

0.95000,0.05000,0.95000,0.95250,1.00000,1.00000,0.95013,0.99490

0.95000,0.10000,0.95000,0.95500,1.00000,1.00000,0.95028,0.99460

0.95000,0.15000,0.95000,0.95750,1.00000,1.00000,0.95044,0.99350

0.95000,0.20000,0.95000,0.96000,1.00000,1.00000,0.95062,0.99500

0.95000,0.25000,0.95000,0.96250,1.00000,1.00000,0.95082,0.99500

0.95000,0.30000,0.95000,0.96500,1.00000,1.00000,0.95105,0.99410

0.95000,0.35000,0.95000,0.96750,1.00000,1.00000,0.95131,0.99650

0.95000,0.40000,0.95000,0.97000,1.00000,1.00000,0.95161,0.99650

0.95000,0.45000,0.95000,0.97250,1.00000,1.00000,0.95197,0.99700

0.95000,0.50000,0.95000,0.97500,1.00000,1.00000,0.95238,0.99740

0.95000,0.55000,0.95000,0.97750,1.00000,1.00000,0.95288,0.99740

0.95000,0.60000,0.95000,0.98000,1.00000,1.00000,0.95349,0.99790

0.95000,0.65000,0.95000,0.98250,1.00000,1.00000,0.95425,0.99830

0.95000,0.70000,0.95000,0.98500,1.00000,1.00000,0.95522,0.99860

0.95000,0.75000,0.95000,0.98750,1.00000,1.00000,0.95652,0.99890

0.95000,0.80000,0.95000,0.99000,1.00000,1.00000,0.95833,0.99940

0.95000,0.85000,0.95000,0.99250,1.00000,1.00000,0.96104,0.99930

0.95000,0.90000,0.95000,0.99500,1.00000,1.00000,0.96552,0.99990

0.95000,0.95000,0.95000,0.99750,1.00000,1.00000,0.97436,1.00000

0.95000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.05000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.10000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.15000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.20000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.25000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.30000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.35000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.40000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.45000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.55000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.60000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.65000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.70000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.75000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.85000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.90000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,0.95000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

